"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP-28_W15.24mm";1;"KM62256CLP";;;
2;"U1";"DIP-14_W7.62mm_LongPads";1;"74LS00";;;
3;"J1";"PinHeader_2x23_P2.54mm_Vertical";1;"Conn_02x23_Odd_Even";;;
